ind id f0 f1 f2 product
0 fwXo0 -1.146987 0.963328 -0.828965 27.758673
1 WJtFt 0.262778 0.269839 -2.530187 56.069697
2 ovLUW 0.194587 0.289035 -5.586433 62.871910
3 q6cA6 2.236060 -0.553760 0.930038 114.572842
4 WPMUX -0.515993 1.716266 5.899011 149.600746
5 LzZXx -0.758092 0.710691 2.585887 90.222465
6 WBHRv -0.574891 0.317727 1.773745 45.641478
7 XO8fn -1.906649 -2.458350 -0.177097 72.480640
8 ybmQ5 1.776292 -0.279356 3.004156 106.616832
9 OilcN -1.214452 -0.439314 5.922514 52.954532
10 myq2g 0.628659 -2.120049 5.362437 166.799132
11 V9R1y -0.544565 0.039088 8.635293 150.859435
12 bKDo0 -0.960453 -0.127113 7.764734 96.910855
13 eXvhs 1.432891 -1.242074 3.557168 8.704162
14 wI4j3 -0.935464 2.420523 1.150536 116.829811
15 XOWTx -2.628353 0.937303 0.057847 68.655498
16 2oVFv -0.428050 -2.246556 6.970420 84.500464
17 0wbDA 0.735307 0.913124 7.899539 96.284701
18 NhHaR 0.706261 -0.993553 3.155582 48.052268
19 DMNMZ -1.867846 2.744144 5.918278 153.815137
20 3mCRf -1.250704 0.540611 3.438567 65.774963
21 fRllb -0.307564 -0.942793 1.571509 113.080584
22 6GvzI -1.221304 1.262642 5.198435 105.207088
23 JwbXn 0.426604 1.142824 6.360318 108.375984
24 urwUC 2.378418 0.665386 1.282287 56.478241
25 KMQl3 0.384287 -2.416239 -1.111076 95.466896
26 Coy8M 0.927511 0.769120 3.512492 94.251843
27 EXElh -0.387211 0.160795 4.097400 77.404287
28 uaZJK 0.513782 1.102372 -0.305253 25.626312
29 6UkRY 1.043879 -0.570642 0.751992 103.263475
30 PMtzo 1.749419 2.974820 1.663992 145.730271
31 y3a1h -1.764716 1.175664 2.898374 118.130136
32 wBJrC -0.263935 -0.442263 3.326272 40.285336
33 KLqMx -0.452600 -2.028847 -5.497120 29.861027
34 HE3Rv 1.903590 1.077743 -1.622128 66.334870
35 FAoc2 1.320987 -1.343799 0.935470 107.040058
36 dQ5QX -1.231645 0.038604 3.394944 49.949507
37 FmeFh 1.549409 -0.263697 2.151824 112.645805
38 nja19 -1.364640 3.167210 6.533984 62.207685
39 I0A8A -1.423237 -3.503145 0.912362 109.513921

