ind id f0 f1 f2 product
0 txEyH 0.705745 -0.497823 1.221170 105.280062
1 2acmU 1.334711 -0.340164 4.365080 73.037750
2 409Wp 1.022732 0.151990 1.419926 85.265647
3 iJLyR -0.032172 0.139033 2.978566 168.620776
4 Xdl7t 1.988431 0.155413 4.751769 154.036647
5 wX4Hy 0.969570 0.489775 -0.735383 64.741541
6 tL6pL 0.645075 0.530656 1.780266 49.055285
7 BYPU6 -0.400648 0.808337 -5.624670 72.943292
8 j9Oui 0.643105 -0.551583 2.372141 113.356160
9 OLuZU 2.173381 0.563698 9.441852 127.910945
10 b8WQ6 0.371066 -0.036585 0.009208 70.326617
11 1YYm1 0.015920 1.062729 -0.722248 45.110381
12 zIYPq -0.276476 0.924865 0.095584 89.158678
13 iqTqq 0.212696 -0.111147 5.770095 164.298520
14 Ct5yY -0.018578 0.187516 2.944683 158.633720
15 Q77WQ 1.324566 -0.419149 -4.097429 60.677876
16 6vJcD -0.000247 0.360146 0.794115 163.143987
17 AgRR6 0.380913 1.114558 0.992377 125.942543
18 tgSSC 0.160021 0.788151 7.629164 113.793566
19 s2g8E 0.593078 -0.414964 -0.715774 28.207978
20 94tLD -1.115733 0.153296 4.068513 117.306360
21 x4axC 0.995960 -0.555728 6.539601 78.268877
22 MlCYx 0.876967 -0.524380 7.769194 94.959824
23 vYLce 1.827189 -0.131038 -0.214082 87.280632
24 RyD7G 0.279035 -0.161439 9.234609 123.126030
25 HgCfr 0.004998 1.107879 2.359406 153.998158
26 DoIei 2.166657 0.175599 -0.096555 84.540995
27 6Gdw6 0.127431 0.142624 2.789634 142.437956
28 gjrQG -0.464524 1.058439 0.356565 28.757162
29 bkKez -0.207409 1.045025 -0.430539 138.721978
30 jnQyF -1.126401 0.007046 -0.657548 87.078211
31 t86xZ 0.921726 0.405240 4.523189 89.021460
32 lSO9H -1.157504 0.362454 3.083786 131.468778
33 kkBK1 0.050464 1.130622 1.815151 67.048172
34 Gbj0z 1.703926 0.036314 4.884569 34.913885
35 ZKRFP -0.376436 0.944301 3.314538 127.494050
36 ZyXT7 -0.092077 -0.013743 6.671086 90.483554
37 TdSKv 1.133533 -0.048465 3.210587 126.838239
38 R9ocw 0.569549 -0.447580 3.114160 76.771134
39 Fo4B8 1.689161 -0.250739 3.064710 114.335445
