id,f0,f1,f2,product
PeAoT,4.443158,0.959896,8.594151,149.112146
NYZPk,-1.573397,-3.223844,-2.763954,60.050456
Q974L,2.081319,-0.274217,1.698028,127.810277
aT0E8,-0.598936,0.232715,-1.588904,55.343974
2pTwc,0.899855,0.079968,7.745764,72.570693
ATPjM,-2.807126,-2.434476,8.319726,119.205153
dnLme,0.128110,-2.532186,7.796657,85.997354
8dbxD,1.555324,-1.267501,0.303104,24.001300
lN7HB,0.426883,-0.245992,0.625369,110.385862
jr9v7,1.822533,-0.486185,-0.472605,29.556316
cLBP0,0.836908,-1.056776,4.707289,85.487009
Yrxv3,-2.466815,-0.983461,1.405296,135.073268
yWesh,-0.263556,0.643293,1.344554,60.880492
meCB4,2.878571,0.691871,0.623807,128.990271
mX68W,3.106622,-1.943100,-0.920745,112.657325
vKZLq,0.589099,-1.944032,-2.891046,20.578570
mdeKC,-0.134769,1.274827,5.167923,155.041481
uz5eo,-1.034393,-1.477778,1.668986,8.503337
4nPab,-0.654885,0.965157,-3.535607,42.465123
NIlG8,3.254894,-0.642725,-0.642022,101.033880
Pykn5,0.101668,0.494371,5.037540,30.399919
uF23g,-0.846849,-2.448680,-1.015801,43.976501
A6qQn,-2.165545,1.750799,8.384041,92.343074
iu9v8,0.732866,0.653231,2.371111,96.530159
eIFRS,0.968561,1.202464,4.353254,71.083824
ua5qa,-1.141149,0.537645,1.442484,30.242953
q19cE,-0.319100,2.634922,5.857523,151.598266
10Obq,1.678560,1.403189,6.313692,158.811422
F2yml,-0.051558,-2.875038,6.739047,82.642039
rJzpp,-0.864651,0.740652,4.664092,88.520067
QlYmx,-1.182179,2.127844,2.338479,78.502786
AAcyW,1.570887,-2.430724,5.733563,83.577214
yDrAl,-2.365583,0.148640,2.062216,151.374166
uHI1Q,2.633658,1.873285,-0.498951,33.627420
B2U80,-1.889398,0.851823,6.805412,96.866615
4GxBu,-1.777037,1.125220,6.263374,172.327046
YKFjq,-1.261523,-0.894828,2.524545,138.748846
tKPY3,-1.199934,-2.957637,5.219411,157.080080
nmxp2,-2.419896,2.417221,-5.548444,51.795253
V9kWn,-2.551421,-2.025625,6.090891,102.775767
