id,f0,f1,f2,product
0Maj6,-6.388812,-2.105505,2.001580,57.085625
Zjbn2,13.854163,-11.528089,-0.005556,0.000000
JLxRL,13.974398,0.588781,0.996990,26.953261
Oc2Ed,11.936196,-4.372905,2.006696,53.906522
igDGL,2.119656,-3.501748,1.009241,30.132364
CXads,-11.836518,-1.611482,3.998412,110.992147
AmmOk,-6.905745,-11.255750,1.992806,57.085625
0Cg72,-10.598534,-14.134041,0.010132,3.179103
2F9U5,-4.755354,1.894500,0.999066,30.132364
tlw4h,2.312316,2.846599,1.995038,53.906522
bkcZ4,4.265967,-1.900432,2.993666,80.859783
CNQDd,-8.521364,-9.599960,2.012761,57.085625
NMRAg,-3.904403,-6.793630,1.998954,57.085625
VsayB,12.698645,-4.384673,-0.002600,0.000000
lTZsU,7.461301,-0.670218,3.000756,80.859783
Mp3uM,6.109864,-6.680806,4.995256,134.766305
suUKl,13.530656,-3.644246,1.001276,26.953261
6s8Cj,-2.451658,-6.923419,4.000594,110.992147
UbaHB,5.021228,-3.691878,4.991054,134.766305
awZLG,-5.351057,-16.667892,3.001720,84.038886
K7eO5,-7.724351,-4.122080,0.000049,3.179103
jmPUN,2.779276,-4.675443,2.997793,80.859783
eaFoc,8.313255,-3.395701,5.001366,134.766305
X9sbX,22.318063,-9.502919,1.996500,53.906522
7n3IT,11.765576,-10.571197,2.003954,53.906522
vLA3P,-0.801653,-6.154504,1.011866,30.132364
dJHhp,14.121071,-6.120793,2.003619,53.906522
29dWQ,-5.505291,2.275335,4.003828,110.992147
UNiyp,-9.795869,-12.867840,1.994554,57.085625
p0Iyd,3.317615,-0.543508,4.000414,107.813044
6HSBo,4.280434,-1.692187,1.011469,26.953261
obwpN,2.233158,-1.970310,1.004117,26.953261
BYhdw,-2.150114,-13.278717,3.002298,84.038886
FOKH6,-8.421251,-2.813906,4.997337,137.945408
VfVub,-8.646179,-3.661656,-0.003027,3.179103
QywKC,9.535637,-6.878139,1.998296,53.906522
ptvty,-10.160631,-12.558096,5.005581,137.945408
09gWa,-7.378891,-3.084104,4.998651,137.945408
rqwUm,0.665714,-6.152593,1.000146,30.132364
relB0,-3.426139,-7.794274,-0.003299,3.179103
